,ValueinCR,MatchPlayed,InningsBatted,NotOuts,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
count,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0
mean,4.927876106194692,50.39823008849557,31.38053097345133,8.601769911504425,585.0973451327434,0.12389380530973451,3.185840707964602,51.283185840707965,22.76991150442478,15.659961550198355,104.61982300884955,17.536649374427828,0.07439731461702777,3.6814159292035398,1.7876106194690264,34.230088495575224,112.41769911504426,0.8938053097345132,897.2566371681415,31.743362831858406,2.061946902654867,0.09734513274336283,34.73144795617362,8.651592920353982,25.073476611883695,34.230088495575224
std,4.307364634165086,50.68346092291999,44.46373293082938,10.265702104414807,1239.4499209370042,0.6564616102750066,9.08938614987516,117.70578249439124,46.59284296080966,10.30082914427027,38.69555223108199,21.109517796257574,0.2915205757299477,3.66027293753403,2.5580800816573226,37.960978284463735,132.70917601368075,1.638612391293355,1011.0878139300643,39.09347286610962,2.9948860753454976,0.32635984111296057,18.124499918470814,1.8083415677530936,12.545708875290053,37.960978284463735
min,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0,2.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0
25%,1.0,13.0,6.0,2.0,23.0,0.0,0.0,1.0,0.0,7.5,78.78,5.0,0.0,1.0,0.0,5.0,14.0,0.0,105.0,4.0,0.0,0.0,25.26,7.61,19.48,5.0
50%,4.0,34.0,14.0,6.0,69.0,0.0,0.0,5.0,3.0,14.3,114.28,11.0,0.0,2.0,1.0,24.0,68.3,0.0,562.0,17.0,1.0,0.0,30.9,8.29,22.6,24.0
75%,8.0,72.0,32.0,12.0,370.0,0.0,1.0,29.0,14.0,22.62,131.08,20.606896551724137,0.0,5.0,2.0,47.0,150.0,1.0,1247.0,43.0,3.0,0.0,34.76,9.04,25.05,47.0
max,16.0,213.0,208.0,63.0,6283.0,5.0,50.0,654.0,227.0,41.59,178.57,96.0,1.2344827586206897,15.0,16.0,171.0,583.0,9.0,4061.0,167.0,14.0,2.0,153.0,18.0,108.0,171.0
